iter	MAE
0	1.247823735
1	1.230991763
2	1.215836854
3	1.202695481
4	1.193720649
5	1.180929881
6	1.169766621
7	1.162978514
8	1.153924311
9	1.147399736
10	1.137900621
11	1.125146952
12	1.117732199
13	1.110333579
14	1.101435551
15	1.092242546
16	1.084642118
17	1.074983747
18	1.068466486
19	1.058679283
20	1.054612124
21	1.046234994
22	1.041391869
23	1.034063844
24	1.029569717
25	1.022488074
26	1.014690026
27	1.00912763
28	1.004537658
29	1.000015164
30	0.992472404
31	0.9874225333
32	0.9829480768
33	0.9781264954
34	0.9717791462
35	0.9664221181
36	0.9583826682
37	0.9545788941
38	0.950638807
39	0.947302137
40	0.9439477407
41	0.9410622439
42	0.9392647941
43	0.9346240017
44	0.9305102787
45	0.9269815898
46	0.9210991511
47	0.9163470433
48	0.9145310079
49	0.9081452879
50	0.9022867358
51	0.8975227875
52	0.8937406294
53	0.8876018197
54	0.8855681946
55	0.8831751784
56	0.8797558842
57	0.876597769
58	0.8730565053
59	0.870659336
60	0.8674567577
61	0.8647732003
62	0.861406298
63	0.8573255825
64	0.8537443763
65	0.8502490158
66	0.8437895287
67	0.8413187278
68	0.8386015782
69	0.8355770114
70	0.8334257302
71	0.83048515
72	0.8290147482
73	0.8252088243
74	0.8218842699
75	0.8193961936
76	0.8164513708
77	0.8139852807
78	0.8118655887
79	0.8082389429
80	0.8056157679
81	0.8018263221
82	0.7986108362
83	0.796391063
84	0.79531247
85	0.792827328
86	0.7900075146
87	0.7873752266
88	0.7855658253
89	0.7841469024
90	0.7822444059
91	0.7796238813
92	0.7758317853
93	0.774574976
94	0.7715157857
95	0.768431907
96	0.7659856286
97	0.7648104564
98	0.7593686947
99	0.7551787643
100	0.7519162052
101	0.7485840686
102	0.7455991869
103	0.7432156638
104	0.7402667728
105	0.7370811292
106	0.7359323725
107	0.7351604058
108	0.7341494627
109	0.7317390203
110	0.7283891716
111	0.7248970435
112	0.7216554653
113	0.7190274553
114	0.7172459499
115	0.7154878537
116	0.7130723353
117	0.7119829286
118	0.71037917
119	0.7082566458
120	0.7047730623
121	0.7025475319
122	0.699595803
123	0.6961362796
124	0.694047219
125	0.6910675276
126	0.6898917064
127	0.686779304
128	0.6843197782
129	0.68203003
130	0.6804325146
131	0.679258847
132	0.6763691948
133	0.6740845627
134	0.6727337457
135	0.6707298245
136	0.6686179778
137	0.666707102
138	0.6647855294
139	0.6620546195
140	0.6590713653
141	0.6574866946
142	0.6563486185
143	0.6556660678
144	0.6543812987
145	0.653628881
146	0.6519100809
147	0.6505930798
148	0.648042918
149	0.6466797444
150	0.6436848985
151	0.6404836494
152	0.6392060829
153	0.6377499434
154	0.6346860356
155	0.6326579502
156	0.6307916906
157	0.6297569116
158	0.6283927919
159	0.6268366726
160	0.6248973544
161	0.6240378885
162	0.6225873422
163	0.6215701234
164	0.6211240611
165	0.6199551953
166	0.6191366525
167	0.6185943005
168	0.6175803455
169	0.6164584204
170	0.6139040492
171	0.6128265134
172	0.610721911
173	0.609431821
174	0.6088924657
175	0.6067173549
176	0.6052726838
177	0.6046329016
178	0.6038637666
179	0.6024869219
180	0.6008938026
181	0.599740001
182	0.5984860575
183	0.5954701467
184	0.5950603606
185	0.5938520877
186	0.5917623027
187	0.5899702825
188	0.5886380883
189	0.5867294201
190	0.5844608084
191	0.5824496007
192	0.5809256203
193	0.5798844109
194	0.5785814391
195	0.5775411112
196	0.576748374
197	0.5755860389
198	0.5741836311
199	0.5712009408
200	0.5689204111
201	0.5679848452
202	0.5660910206
203	0.5642769755
204	0.5628593344
205	0.5623284783
206	0.5605598595
207	0.5595459614
208	0.5586987392
209	0.5571865598
210	0.5557030851
211	0.5541853323
212	0.5531218873
213	0.5514543672
214	0.5502903044
215	0.548232938
216	0.545951549
217	0.5449494494
218	0.5440244005
219	0.5424862855
220	0.5417496049
221	0.5408333438
222	0.5376634494
223	0.5362454131
224	0.5343482002
225	0.5340082635
226	0.533145788
227	0.5307527561
228	0.5292482971
229	0.5287628576
230	0.5281014175
231	0.5278370286
232	0.5267660194
233	0.5255101869
234	0.5249564034
235	0.5233405271
236	0.5210158002
237	0.5196843364
238	0.518320083
239	0.5167021791
240	0.5156915444
241	0.5137531787
242	0.5125504937
243	0.5113984928
244	0.510186927
245	0.5091068886
246	0.5080511515
247	0.5060191307
248	0.5049329937
249	0.5033842022
250	0.5028992086
251	0.5009802652
252	0.5003352338
253	0.5000717452
254	0.4993573541
255	0.4975211648
256	0.4958518887
257	0.4946555753
258	0.4937533697
259	0.4932034605
260	0.4928432943
261	0.4923217183
262	0.4906319531
263	0.4891232416
264	0.4880138174
265	0.4865029376
266	0.4854149066
267	0.4846401559
268	0.4821665085
269	0.480571971
270	0.4800670968
271	0.4795728625
272	0.4786821881
273	0.4775404203
274	0.4767994575
275	0.4762039793
276	0.4755068023
277	0.4750061877
278	0.4742675985
279	0.4736527951
280	0.4729414659
281	0.4725815171
282	0.4715843604
283	0.4703836386
284	0.4689843948
285	0.4683356796
286	0.4675547622
287	0.4669842842
288	0.4660018338
289	0.4651851826
290	0.4641248087
291	0.4634983725
292	0.4629013685
293	0.4625064334
294	0.4614986178
295	0.4603902095
296	0.460173831
297	0.4599645686
298	0.4590106759
299	0.4577300574
300	0.4569600198
301	0.4563814785
302	0.4559040074
303	0.4544098454
304	0.4537339393
305	0.4527769002
306	0.4522177153
307	0.4510054892
308	0.4496279308
309	0.4480290378
310	0.4463203787
311	0.4462220605
312	0.445737845
313	0.4449589221
314	0.4441063621
315	0.4435351423
316	0.4432965055
317	0.4417891134
318	0.4406771524
319	0.4402569614
320	0.4390348368
321	0.43800729
322	0.4367701433
323	0.4364159978
324	0.4349829195
325	0.4343364708
