,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
0,2025-01-04 20:00:00,0.83,20.8
1,2025-01-04 22:00:00,0.85,19.2
2,2025-01-05 00:00:00,0.83,18.7
3,2025-01-05 02:00:00,0.84,17.8
4,2025-01-05 04:00:00,0.81,20.0
5,2025-01-05 06:00:00,0.85,19.4
6,2025-01-05 08:00:00,0.83,19.1
7,2025-01-05 10:00:00,0.8,20.3
8,2025-01-05 12:00:00,0.84,16.6
9,2025-01-05 14:00:00,0.83,17.0
10,2025-01-05 16:00:00,0.79,16.0
11,2025-01-05 18:00:00,0.81,16.7
12,2025-01-05 20:00:00,0.85,19.1
13,2025-01-05 22:00:00,0.82,18.5
14,2025-01-06 00:00:00,0.8,17.8
15,2025-01-06 02:00:00,0.84,18.0
16,2025-01-06 04:00:00,0.81,18.6
17,2025-01-06 05:30:00,0.83,17.5
18,2025-01-06 14:00:00,0.84,20.5
19,2025-01-06 16:00:00,0.84,19.8
20,2025-01-06 18:00:00,0.83,19.4
21,2025-01-06 20:00:00,0.8,18.3
22,2025-01-06 22:00:00,0.81,19.2
23,2025-01-07 00:00:00,0.84,19.5
24,2025-01-07 02:00:00,0.79,19.4
25,2025-01-07 04:00:00,0.82,19.9
26,2025-01-07 06:00:00,0.8,18.2
27,2025-01-07 08:00:00,0.82,15.2
28,2025-01-07 10:00:00,0.84,16.4
29,2025-01-07 12:00:00,0.8,15.6
30,2025-01-07 14:00:00,0.85,19.8
31,2025-01-07 16:00:00,0.81,18.6
32,2025-01-07 18:00:00,0.84,20.1
33,2025-01-07 20:00:00,0.84,20.2
34,2025-01-07 22:00:00,0.85,20.7
35,2025-01-08 00:00:00,0.83,19.8
36,2025-01-08 02:00:00,0.83,18.6
37,2025-01-08 04:00:00,0.81,18.0
38,2025-01-08 06:00:00,0.84,17.9
39,2025-01-08 08:00:00,0.86,18.0
40,2025-01-08 11:15:00,0.84,17.8
41,2025-01-08 12:00:00,0.83,18.8
42,2025-01-08 14:00:00,0.8,17.6
43,2025-01-08 16:00:00,0.82,18.2
44,2025-01-08 18:00:00,0.85,18.5
45,2025-01-08 20:00:00,0.86,17.0
46,2025-01-08 22:00:00,0.8,18.9
47,2025-01-09 00:00:00,0.81,17.1
48,2025-01-09 02:00:00,0.85,19.4
49,2025-01-09 04:00:00,0.85,18.6
50,2025-01-09 06:00:00,0.8,16.1
51,2025-01-09 08:00:00,0.78,15.9
52,2025-01-09 22:00:00,0.85,19.5
53,2025-01-10 00:00:00,0.82,17.8
54,2025-01-10 02:00:00,0.84,18.3
55,2025-01-10 04:00:00,0.8,17.5
56,2025-01-10 06:00:00,0.83,17.0
57,2025-01-10 08:00:00,0.84,16.8
58,2025-01-10 10:00:00,0.85,17.4
59,2025-01-10 12:00:00,0.83,18.4
60,2025-01-10 14:00:00,0.84,17.1
61,2025-01-10 16:00:00,0.82,17.3
62,2025-01-10 18:00:00,0.85,18.0
63,2025-01-10 20:00:00,0.78,17.3
64,2025-01-10 22:00:00,0.81,19.4
65,2025-01-11 00:00:00,0.84,19.0
66,2025-01-11 02:00:00,0.8,16.4
67,2025-01-11 04:00:00,0.83,16.0
68,2025-01-11 06:00:00,0.85,16.2
69,2025-01-11 08:00:00,0.84,19.6
70,2025-01-11 10:00:00,0.81,16.8
71,2025-01-11 12:00:00,0.83,19.9
72,2025-01-11 14:00:00,0.79,17.8
73,2025-01-11 16:00:00,0.82,19.1
74,2025-01-11 18:00:00,0.84,17.5
75,2025-01-11 20:00:00,0.83,16.9
76,2025-01-11 22:00:00,0.84,17.6
77,2025-01-12 00:00:00,0.82,17.8
78,2025-01-12 02:00:00,0.85,18.5
79,2025-01-12 04:00:00,0.84,19.1
80,2025-01-12 06:00:00,0.85,18.3
81,2025-01-12 08:00:00,0.87,19.5
82,2025-01-12 10:00:00,0.84,18.6
83,2025-01-12 12:00:00,0.82,20.4
84,2025-01-12 14:00:00,0.85,19.5
85,2025-01-12 16:00:00,0.83,18.0
86,2025-01-12 18:00:00,0.82,16.9
87,2025-01-12 20:00:00,0.84,17.6
88,2025-01-12 22:00:00,0.82,16.3
89,2025-01-13 00:00:00,0.86,20.4
90,2025-01-13 02:00:00,0.84,19.8
91,2025-01-13 04:00:00,0.83,18.4
92,2025-01-13 06:00:00,0.81,18.4
93,2025-01-13 08:00:00,0.82,19.6
94,2025-01-13 10:00:00,0.8,20.4
95,2025-01-13 12:00:00,0.83,20.1
96,2025-01-13 14:00:00,0.86,18.2
97,2025-01-13 16:00:00,0.84,18.5
98,2025-01-13 18:00:00,0.8,17.2
99,2025-01-13 20:00:00,0.85,16.5
100,2025-01-13 22:00:00,0.82,17.1
101,2025-01-14 00:00:00,0.8,18.2
102,2025-01-14 02:00:00,0.84,17.4
103,2025-01-14 04:00:00,0.83,17.0
104,2025-01-14 06:00:00,0.82,18.5
105,2025-01-14 08:00:00,0.84,17.8
106,2025-01-14 10:00:00,0.82,18.9
107,2025-01-14 12:00:00,0.84,18.7
108,2025-01-14 14:00:00,0.85,17.5
109,2025-01-14 16:00:00,0.86,20.7
110,2025-01-14 18:00:00,0.85,19.9
111,2025-01-14 20:00:00,0.83,21.3
112,2025-01-14 21:59:59,0.82,20.3
113,2025-01-14 23:59:59,0.86,21.6
114,2025-01-15 01:59:59,0.84,20.8
115,2025-01-15 03:59:59,0.82,17.3
116,2025-01-15 05:59:59,0.8,19.1
117,2025-01-15 07:59:59,0.86,21.0
118,2025-01-15 09:59:59,0.82,20.9
119,2025-01-15 11:59:59,0.81,21.4
120,2025-01-15 13:59:59,0.79,21.2
121,2025-01-15 15:59:59,0.82,20.8
122,2025-01-15 17:59:59,0.86,19.7
123,2025-01-15 19:59:59,0.84,17.6
124,2025-01-15 21:59:59,0.82,18.3
125,2025-01-15 23:59:59,0.85,19.6
126,2025-01-16 01:59:59,0.86,18.1
127,2025-01-16 07:59:59,0.85,19.6
128,2025-01-16 09:59:59,0.83,20.3
129,2025-01-16 11:59:59,0.84,19.8
130,2025-01-16 13:59:59,0.8,18.5
131,2025-01-16 15:59:59,0.82,20.0
132,2025-01-16 17:59:59,0.85,19.6
133,2025-01-16 19:59:59,0.79,20.5
134,2025-01-16 21:59:59,0.89,19.6
135,2025-01-16 23:59:59,0.86,17.7
136,2025-01-17 01:59:59,0.86,16.5
137,2025-01-17 03:59:59,0.81,16.2
138,2025-01-17 05:59:59,0.88,17.0
139,2025-01-17 07:59:59,0.83,18.2
140,2025-01-17 12:00:00,0.8,22.5
141,2025-01-17 14:00:00,0.82,20.1
142,2025-01-17 16:00:00,0.85,20.0
143,2025-01-17 18:00:00,0.83,20.4
144,2025-01-17 20:00:00,0.83,18.4
145,2025-01-17 22:00:00,0.85,20.0
146,2025-01-18 00:00:00,0.82,19.2
147,2025-01-18 02:00:00,0.84,19.1
148,2025-01-18 04:00:00,0.83,19.6
149,2025-01-18 06:00:00,0.81,18.6
150,2025-01-18 08:00:00,0.83,18.7
151,2025-01-18 10:00:00,0.84,20.5
152,2025-01-18 12:00:00,0.83,19.4
153,2025-01-18 14:00:00,0.84,18.0
154,2025-01-18 16:00:00,0.82,18.7
155,2025-01-18 18:00:00,0.84,17.5
156,2025-01-18 20:00:00,0.78,17.4
157,2025-01-18 22:00:00,0.82,20.5
158,2025-01-19 00:00:00,0.84,17.4
