model,cv,mae,mse,mae_baseline,mae_baseline_shift,same_direction_ratio
CatBoost,KFold,1.1463,2.0512,1.2316,1.6344,0.5918
LinearRegression,KFold,1.1744,2.1077,1.2316,1.6344,0.5746
Ridge,KFold,1.1742,2.1065,1.2316,1.6344,0.5727
XGBoost,Holdout,1.1706,2.0579,0.9657,1.1935,0.5701
GradientBoosting,KFold,1.2032,2.1596,1.2316,1.6344,0.5596
CatBoost,TSCV_gap5,1.304,2.5722,1.1703,1.2658,0.5438
RandomForest,KFold,1.1439,1.9985,1.2316,1.6344,0.5426
XGBoost,KFold,1.185,2.1447,1.2316,1.6344,0.5312
GradientBoosting,TSCV_gap0,1.3549,2.8586,1.1703,1.2658,0.5271
RandomForest,Holdout,1.0725,1.7883,0.9657,1.1935,0.5234
LinearRegression,TSCV_gap0,1.2746,2.5967,1.1703,1.2658,0.5229
RandomForest,TSCV_gap0,1.2766,2.4822,1.1703,1.2658,0.5229
XGBoost,TSCV_gap0,1.3059,2.5712,1.1703,1.2658,0.5167
Ridge,TSCV_gap0,1.2646,2.5445,1.1703,1.2658,0.5167
CatBoost,TSCV_gap0,1.3197,2.6209,1.1703,1.2658,0.5146
LinearRegression,TSCV_gap5,1.2957,2.7115,1.1703,1.2658,0.5125
XGBoost,TSCV_gap5,1.3045,2.5799,1.1703,1.2658,0.5125
GradientBoosting,TSCV_gap5,1.3271,2.6958,1.1703,1.2658,0.5125
RandomForest,TSCV_gap5,1.2775,2.4628,1.1703,1.2658,0.5062
Ridge,TSCV_gap5,1.2819,2.6384,1.1703,1.2658,0.5062
LinearRegression,Holdout,1.0624,1.9266,0.9657,1.1935,0.4766
Ridge,Holdout,1.0585,1.9116,0.9657,1.1935,0.4766
CatBoost,Holdout,1.1266,1.9358,0.9657,1.1935,0.4673
GradientBoosting,Holdout,1.1337,2.1016,0.9657,1.1935,0.4579
